"259001","About A Boy","2002","Chris Weitz"
"259002","Good Will Hunting","1997","Gus VanSant"
"259003","Hero","2002","Yimou Zhang"
"259004","Lost In Translation","2003","SofiaCoppola"
"259005","Wonder Boys","2000","Curtis Hanson"
"259006","Before Sunrise","1995","RichardLinklater"
"259007","Forrest Gump","1994","RobertZemeckis"
"259008","Requiem For a Dream","2000","DarrenAronofsky"
"259009","Garden State","2004","Zach Braff"
"259010","Mystic River","2003","Clint Eastwood"
"326001","Meet the Fockers","2004","Jay Roach"
"326002","Godsend","2004","Nick Hamm"
"326003","Starsky & Hutch","2004","Todd Phillips"
"326004","Along Came Polly","2004","John Hamburg"
"326005","Bruce Almighty","2003","Tom Shadyac"
"326006","Lemony Snicket's A Series of Unfortunate Events","2004","Brad Silberling"
"326007","Cold Mountain","2003","Anthony Minghella"
"326008","Birth","2004","Jonathan Glazer"
"326009","Troy","2004","Wolfgang Peterson"
"326010","Ocean's Twelve","2004","Steven Soderbergh"
"412001","Elektra","2005","Rob Bowman"
"412002","Snatch.","2000","Guy Ritchie"
"412003","Batman Begins","2005","Christopher Nolan"
"412004","X2","2003","Bryan Singer"
"412005","The Merchant of Venice","2004","Michael Radford"
"412006","Coach Carter","2005","Thomas Carter"
"412007","Vanilla Sky","2001","Cameron Crowe"
"412008","White Noise","2005","Geoffrey Sax"
"412009","The Aviator","2004","Martin Scorsese"
"412011","Ocean's Eleven","2001","Steven Soderbergh"
"412012","Ocean's Twelve","2004","Steven Soderbergh"
"422101","Garden State","2004","Zach Braff"
"422102","Eternal Sunshine of the SpotlessMind","2004","Michel Gondry"
"422104","Ghost World","2004","TerryZwigoff"
"422105","Girl with a Pearl Earring","2003","Peter Webber"
"422106","I Heart Huckabees","2004","DavidO. Russell"
"422107","A Clockwork Orange","1971","Stanley Kubrik"
"422108","Donnie Darko","2001","RichardKelly"
"422109","The Princess Bride","1987","RobReiner"
"422110","Vampire Effect","2003","DanteLam"
"490001","The Aviator","2004","Martin Scorsese"
"490002","Ocean's Twelve","2004","StevenSoderbergh"
"490003","Hostage","2005","Florent Emilio Siri"
"490004","Elektra","2005","Rob Bowman"
"490005","Shall We Dance","2004","Peter Chelsom"
"490006","Cold Mountain","2003","AnthonyMinghella"
"490007","Titanic","1997","James Cameron"
"490008","The Sound of Music","1965","RobertWise"
"490009","A Beautiful Mind","2001","Ron Howard"
"490010","Walk in the Clouds","1995","AlfonsoArau"
"490011","Traffic","2000","Steven Soderbergh"
"490012","Pretty Woman","1990","Gary Marshall"
"490013","The Terminal","2004","StevenSpielberg"
"490014","Troy","2004","Wolfgang Petersen"
"490015","Notting Hill","1999","Roger Michell"
"490016","Stepmom","1998","Chris Columbus"
"490017","Intolerable Cruelty","2003","JoelCoen"
"492001","Star Wars, Episode 3: Revenge of the Sith","2005","George Lucas"
"492002","The Lord of the Rings: The Return of theKing","2003","Peter Jackson"
"492003","The Lord of the Rings: The Two Towers","2002","Peter Jackson"
"492004","Garden State","2004","Zach Braff"
"492005","Elektra","2005","Rob Bowman"
"492006","In Good Company","2004","Paul Weitz"
"492007","The Incredibles","2004","Brad Bird"
"492008","Oceans Twelve","2004","Steven Soderbergh"
"492009","Hotel Rwanda","2004","Terry George"
"492010","Finding Neverland","2004","Marc Forster"
"525001","Dr. No","1962","Terence Young"
"525002","From Russia with Love","1963","TerenceYoung"
"525003","Goldfinger","1964","Guy Hamilton"
"525004","Thunderball","1965","Terence Young"
"525005","You Only Live Twice","1967","LewisGilbert"
"525006","On Her Majestys Secret Service","1969","Peter R. Hunt"
"525007","Diamonds are Forever","1971","GuyHamilton"
"525008","Live and Let Die","1973","GuyHamilton"
"525009","The Man with the Golden Gun","1974","Guy Hamilton"
"525010","The Spy Who Loved Me","1977","LewisGilbert"
"525011","Moonraker","1979","Lewis Gilbert"
"525012","For Your Eyes Only","1981","JohnGlen"
"525013","Octopussy","1983","John Glen"
"525014","A View to a Kill","1985","John Glen"
"525015","The Living Daylights","1987","JohnGlen"
"525016","Licence to Kill","1989","John Glen"
"525017","GoldenEye","1995","Martin Campbell"
"525018","Tomorrow Never Dies","1997","RogerSpottiswoode"
"525019","The World is Not Enough","1999","Michael Apted"
"525020","Die Another Day","2002","LeeTamahori"
"631001","Roman Holiday","1953","William Wyler"
"631002","Breakfast at Tiffany's","1961","BlakeEdwards"
"631003","Anna and the King","1999","Andy Tennant"
"631004","Gone with the Wind","1939","VictorFlemming, George Cukor, Sam Wood"
"631005","Home Alone","1990","Chris Columbus"
"631006","Home Alone 2: Lost in New York","1992","Chris Columbus"
"631007","The Godfather","1972","Francis FordCoppola"
"631008","City Light","1931","Charles Chaplin"
"631009","Shogun","1980","Jerry London"
"631010","License To Kill","1989","John Glen"
"634001","The Matrix","1999","WachowskiBrothers"
"634002","The Matrix Reloaded","2003","WachowskiBrothers"
"634003","The Matrix Revolutions","2003","WachowskiBrothers"
"634004","The Lord of the Rings: The Fellowshipof the Ring","2001","PeterJackson"
"634005","The Lord of the Rings: The TwoTowers","2002","PeterJackson"
"634006","The Lord of the Rings: The Return ofthe King","2003","PeterJackson"
"634007","Crouching Tiger HiddenDragon","2000","AngLee"
"634008","You Got Served","2004","ChristopherB. Stokes"
"634009","Ocean's Eleven","2001","StevenSoderbergh"
"634010","Ocean's Twelve","2004","StevenSoderbergh"
"658001","Titanic","1997","James Cameron"
"658002","A Beautiful Mind","2001","Ron Howard"
"658003","American Beauty","1999","Sam Mendes"
"658004","Shakespeare in Love","1998","John Madden"
"658005","Braveheart","1995","Mel Gibson"
"658006","Mystic River","2003","Clint Eastwood"
"658007","Love Actually","2003","Richard Curtis"
"658008","Catch Me If You Can","2002","Steven Spielberg"
"658009","8 Mile","2002","Curtis Hanson"
"658010","Moulin Rouge","2001","Baz Luhrmann"
"658011","Forrest Gump","1994","Robert Zemeckis"
"671001","Alien","1979","Ridley Scott"
"671002","Aliens","1986","James Cameron"
"671003","Alien3","1992","David Fincher"
"671004","Bowling for Columbine","2002","Michael Moore"
"671005","Fahrenheit 9/11","2004","MichaelMoore"
"671006","Braveheart","1995","Mel Gibson"
"671007","Saving Private Ryan","1998","Steven Spielberg"
"671008","The Terminal","2004","StevenSpielberg"
"671009","The Mask","1994","Chuck Russell"
"671010","Dogma","1999","Kevin Smith"
"671011","Starship Troopers","1997","PaulVerhoeven"
"671012","Independence Day","1996","RolandEmmerich"
"671013","Men In Black","1997","BarrySonnenfeld"
"671014","Men in Black II","2002","BarrySonnenfeld"
"671015","The Mummy","1999","StephenSommers"
"671016","The Mummy Returns","2001","StephenSommers"
"671017","Blast From the Past","1999","HughWilson"
"671018","Raiders of the Lost Ark","1981","Steven Spielberg"
"671019","Indiana Jones and the Temple ofDoom","1984","Steven Spielberg"
"671020","Indiana Jones and the Last Crusade","1989","Steven Speilberg"
"683001","The Godfather","1972","Francis FordCoppola"
"683002","Scarface","1983","Brian DePalma"
"683003","Boiler Room","2000","BenYounger"
"683004","Driven","2001","RennyHarlin"
"683005","Any Given Sunday","1999","OliverStone"
"683006","Oceans Eleven","1995","StevenSoderbergh"
"683007","The Fast and the Furious","2001","RobCohen"
"683008","Barbershop","2002","TimStory"
"683009","Black Hawk Down","2002","RidleyScott"
"683010","Training Day","2001","AntonieFuqua"
"693000","The Aviator","2004","Martin Scorsese"
"693001","Elektra","2005","Rob Bowman"
"693002","Meet the Fockers","2004","Jay Roach"
"693003","Ocean's Twelve","2004","StevenSoderbergh"
"693004","The Goonies","1985","Richard Donner"
"693005","Coach Carter","2005","Thomas Carter"
"693007","Forrest Gump","1994","RobertZemeckis"
"693008","Independence Day","1996","RolandEmmerich"
"693009","The Sixth Sense","1999","M. NightShyamalan"
"755001","Amelie","2001","Jean-Pierre Jeunet"
"755002","Fahrenheit 9/11","2004","Michael Moore"
"755003","Garden State","2004","Zach Braff"
"755004","Hero","2004","Zhang Yimou"
"755005","Moulin Rouge","2001","Baz Luhrmann"
"755006","Oceans Eleven","2001","Steven Soderbergh"
"755007","Raiders Of The Lost Ark","1981","Steven Speilberg"
"755008","Seven","1995","David Fincher"
"755009","Shrek","2001","Andrew Adamson Vicky Jenson"
"755010","Terminator 2","1991","James Cameron"
"755011","The Incredibles","2004","Brad Bird"
"755012","The Matrix","1999","Andy Wachowski Larry Wachowski"
"755013","White Chicks","2004","Keenan Ivory Wayans"
"755014","Star Wars: Episode I","1999","George Lucas"
"764001","The Village","2004","M. Night Shyamalan"
"764002","Troy","2004","Wolfgang Petersen"
"764003","National Treasure","2004","Jon Turteltaub"
"764004","Spider-Man 2","2004","Sam Raimi"
"764005","The Incredibles","2004","Brad Bird"
"764006","Meet the Fockers","2004","Jay Roach"
"764007","The Polar Express","2004","Robert Zemeckis"
"764008","Hellboy","2004","Guillermo del Toro"
"764009","50 First Dates","2004","Peter Segal"
"764010","Oceans Twelve","2004","Steven Soderbergh"
"788001","When Harry Met Sally","1989","Rob Reiner"
"788002","Being Human","1994","Bill Forsyth"
"788003","American History X","1998","Tony Kaye"
"788004","Bone Collector","1999","Phillip Noyce"
"788005","Good Will Hunting","1997","Gus Van Sant"
"788006","Eyes Wide Shut","1999","Stanley Kubrick"
"788007","Ride With the Devil","1999","Ang Lee"
"788008","Master and Commander: The Far Side of theWorld","2003","Peter Weir"
"788009","The Others","2001","Alejandro Amenabar"
"788010","Love Actually","2003","Richard Curtis"
"788011","Fahrenheit 9/11","2004","Michael Moore"
"788012","Almost Famous","2000","Cameron Crowe"
"788013","A Beautiful Mind","2001","Ron Howard"
"788014","Proof of Life","2000","TaylorHackford"
"788015","Philadelphia","1993","JonathanDemme"
"788016","Courage Under Fire","1996","EdwardZwick"
"788017","You've Got Mail","1998","NoraEphron"
"788018","The terminal","2004","StevenSpielberg"
"855001","Rush Hour 2","2001","Brett Ratner"
"855002","The Fifth Element","1997","Luc Besson"
"855003","Shall We Dance","2004","Peter Chelsom"
"855004","Runaway Bride","1999","Garry Marshall"
"855005","Ocean Twelve","2004","Steven Soderbergh"
"855006","Intolerable Cruelty","2003","Joel Coen"
"855007","Finding Neverland","2004","Marc Forster"
"855008","Sleepy Hollow","1999","Tim Burton"
"855009","External Sunshine of the Spotless Mind","2004","Michel Gondry"
"872001","Catwoman","2004","Pitof"
"872002","Are We There Yet","2005","BrianLevant"
"872003","Meet the Fockers","2004","Jay Roach"
"872004","Dodgeball: A True Underdog Story","2004","Rawson Marshall Thurber"
"872005","Starsky & Hutch","2004","ToddPhillips"
"872006","Training Day","2001","Antoine Fuqua"
"872007","Man on Fire","2001","Tony Scott"
"872008","The Stepford Wives","2004","Frank Oz"
"872009","Eyes Wide Shut","1999","StanleyKubrick"
"872010","Collateral","2004","Michael Mann"
"872011","Ray","2004","Taylor Hackford"
"872012","Bad Company","2002","Joel Schumacher"
"907000","One Eight Seven","1997","KevinReynolds"
"907001","Thir13en Ghosts","2001","SteveBeck"
"907002","24 Hour Party People","2002","MichaelWinterbottom"
"907003","2001: A Space Odyssey","1968","StanleyKubrick"
"907004","A Clockwork Orange","1971","StanleyKubrick"
"907005","3000 Miles to Graceland","2001","DemianLichtenstein"
"907006","The Affair of theNecklace","2001","CharlesShyer"
"907007","Batman Begins","2005","ChristopherNolan"
"907008","All or Nothing","2002","MikeLeigh"
"907009","All Over Me","1997","AlexSichel"
"907010","qqqqqqw","2015","Daniel"
"907011","ogutjhf","2015","Daniel"
"907012","asdfas","2004","Daniel"
"907013","TestMovie","2020","Me"
